date,port_ret,port_ret_net,nav,value
20250606,0.0019123183607164696,0.0014123183607164696,1.0255022763531028,10255022.763531027
20250609,0.0014197234371604583,0.0009197234371604583,1.0264454548315263,10264454.548315262
20250610,0.002014070474098806,0.001514070474098806,1.0279995655879597,10279995.655879596
20250611,-0.0018179658718574742,-0.002317965871857474,1.0256166976786425,10256166.976786425
20250612,0.0016792866484166779,0.0011792866484166779,1.026826193756608,10268261.937566081
20250613,0.001197055065060082,0.0006970550650600819,1.0275419481559025,10275419.481559025
20250616,0.0037467888907833035,0.0032467888907833035,1.0308781599379888,10308781.599379888
20250617,-0.00408949025214912,-0.004589490252149119,1.0261469546717998,10261469.546717998
20250618,-0.00008364080205809365,-0.0005836408020580936,1.0255480534401458,10255480.534401458
20250619,0.0006122125932837674,0.00011221259328376737,1.0256631328467594,10256631.328467594
20250620,-0.004532546786783687,-0.005032546786783687,1.0205014351432289,10205014.351432288
20250623,0.0029453342183213605,0.0024453342183213605,1.0229969022224306,10229969.022224305
20250624,0.0027874511459312413,0.0022874511459312413,1.0253369576587033,10253369.576587033
20250625,0.0006989434863301835,0.00019894348633018352,1.025540941767723,10255409.417677231
20250626,0.0037657180863641003,0.0032657180863641003,1.0288900693695606,10288900.693695607
20250627,0.005889441998110989,0.00538944199811099,1.0344352127208603,10344352.127208602
20250630,0.0013041874402464292,0.0008041874402464292,1.0352670925266791,10352670.925266791
20250701,0.00318346000809695,0.00268346000809695,1.0380451903671732,10380451.903671732
20250702,0.0037409782635974055,0.0032409782635974054,1.041409472265785,10414094.72265785
20250703,-0.00028354981977875006,-0.00078354981977875,1.0405934760614752,10405934.760614753
20250704,-0.0005532264009707966,-0.0010532264009707965,1.0394974955398093,10394974.955398094
20250707,0.0016992893187842916,0.0011992893187842916,1.0407441537831132,10407441.537831133
20250708,0.009799460437298568,0.009299460437298568,1.050422512866569,10504225.12866569
20250709,-0.00046039913720554717,-0.0009603991372055472,1.0494136879915106,10494136.879915105
20250710,0.0010049145433444595,0.0005049145433444595,1.0499435522245621,10499435.522245621
20250711,0.001890643525254887,0.001390643525254887,1.0514036494273464,10514036.494273465
20250714,-0.0010411185482086637,-0.0015411185482086638,1.0497833117615596,10497833.117615595
20250715,0.0018378522017081012,0.0013378522017081012,1.0511877666765161,10511877.66676516
20250716,0.0007251299993873417,0.00022512999938734167,1.051424420577784,10514244.20577784
20250717,0.0013616624902559548,0.0008616624902559548,1.0523303935623352,10523303.935623351
20250718,0.002940931297988547,0.002440931297988547,1.0548990597558061,10548990.59755806
